아이디,성별,연령별,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1,문3-2. 고려한 관광인프라_1,여행동반자_그룹,방문 지역 수,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문3-1. 고려한 관광활동_1순위
86,1,2,3,가성비 및 접근성,여행 편의성,가족형,1,서울 심층형,619.114285714286,7.0,도시 소비형
87,2,2,3,경험형,여행 편의성,가족형,2,서울 심층형,144.46,6.0,경험형
92,1,3,1,경험형,안전 및 퀄리티,가족형,2,서울 단기형,288.0,5.0,경험형
108,2,4,1,경험형,안전 및 퀄리티,가족형,1,서울 심층형,190.666666666667,10.0,특수 목적
110,1,3,4,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,218.088,5.0,경험형
111,1,3,1,경험형,여행 편의성,친구형,1,서울 단기형,678.714,5.0,"역사, 전통, 자연"
112,1,2,1,경험형,가성비,친구형,1,서울 심층형,341.666666666667,6.0,도시 소비형
115,2,1,1,콘텐츠 및 문화,여행 편의성,친구형,2,서울 심층형,82.3076923076923,13.0,특수 목적
116,1,4,1,가성비 및 접근성,안전 및 퀄리티,가족형,2,서울 단기형,179.06,5.0,도시 소비형
118,2,2,1,콘텐츠 및 문화,안전 및 퀄리티,친구형,1,서울 심층형,175.748571428571,7.0,도시 소비형
119,2,1,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,101.355,5.0,경험형
121,2,3,4,가성비 및 접근성,가성비,가족형,1,서울 심층형,231.25,6.0,도시 소비형
122,2,2,1,콘텐츠 및 문화,안전 및 퀄리티,친구형,1,서울 심층형,166.883333333333,6.0,도시 소비형
123,2,2,1,경험형,여행 편의성,친구형,2,서울 심층형,168.54435,6.0,도시 소비형
125,2,2,2,경험형,가성비,혼자형,1,서울 단기형,159.75,4.0,도시 소비형
128,2,2,1,경험형,여행 편의성,친구형,1,서울 단기형,447.36,5.0,특수 목적
132,2,2,3,경험형,안전 및 퀄리티,혼자형,1,수도권/지방형(탐험가형),186.15,16.0,도시 소비형
135,2,5,2,경험형,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),186.4,9.0,도시 소비형
136,2,3,4,콘텐츠 및 문화,안전 및 퀄리티,가족형,2,서울 단기형,299.286,5.0,도시 소비형
137,1,2,1,경험형,여행 편의성,가족형,1,서울 심층형,115.0,11.0,"역사, 전통, 자연"
138,2,2,1,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 단기형,335.52,5.0,특수 목적
142,1,2,1,경험형,여행 편의성,단체형,1,서울 심층형,192.142857142857,7.0,특수 목적
143,1,3,1,가성비 및 접근성,가성비,가족형,1,서울 심층형,120.0,20.0,도시 소비형
144,2,2,1,가성비 및 접근성,여행 편의성,친구형,1,수도권/지방형(탐험가형),266.25,4.0,경험형
145,1,3,2,콘텐츠 및 문화,안전 및 퀄리티,가족형,3,서울 심층형,173.578571428571,7.0,특수 목적
146,2,5,4,가성비 및 접근성,여행 편의성,가족형,1,수도권/지방형(탐험가형),205.99865,4.0,도시 소비형
147,1,2,1,경험형,안전 및 퀄리티,가족형,1,서울 단기형,325.0,4.0,도시 소비형
148,2,5,1,경험형,안전 및 퀄리티,가족형,1,서울 심층형,236.666666666667,6.0,"역사, 전통, 자연"
150,1,2,1,경험형,여행 편의성,친구형,1,서울 심층형,380.620214285714,7.0,특수 목적
151,1,4,1,경험형,여행 편의성,혼자형,1,서울 심층형,187.5,8.0,도시 소비형
152,2,3,1,경험형,안전 및 퀄리티,단체형,1,서울 단기형,400.0,5.0,경험형
154,1,2,1,가성비 및 접근성,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),154.78,5.0,특수 목적
157,2,2,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,145.392,5.0,"역사, 전통, 자연"
158,1,3,1,경험형,여행 편의성,친구형,1,서울 단기형,109.47,5.0,경험형
159,2,6,4,콘텐츠 및 문화,가성비,혼자형,1,서울 심층형,195.25,8.0,경험형
162,1,4,1,경험형,안전 및 퀄리티,친구형,1,서울 단기형,133.5534,5.0,경험형
164,1,3,1,가성비 및 접근성,여행 편의성,가족형,1,서울 단기형,213.333333333333,5.0,도시 소비형
165,2,2,1,콘텐츠 및 문화,안전 및 퀄리티,단체형,2,수도권/지방형(탐험가형),174.42,5.0,특수 목적
166,1,5,1,경험형,여행 편의성,단체형,2,수도권/지방형(탐험가형),124.032,5.0,도시 소비형
167,1,6,4,가성비 및 접근성,안전 및 퀄리티,혼자형,1,수도권/지방형(탐험가형),664.0,10.0,경험형
168,1,4,1,가성비 및 접근성,안전 및 퀄리티,단체형,2,수도권/지방형(탐험가형),187.34,5.0,"역사, 전통, 자연"
169,2,6,1,콘텐츠 및 문화,여행 편의성,단체형,1,수도권/지방형(탐험가형),200.26,4.0,"역사, 전통, 자연"
172,2,4,3,가성비 및 접근성,여행 편의성,가족형,1,서울 단기형,310.1575,4.0,도시 소비형
173,2,2,4,콘텐츠 및 문화,안전 및 퀄리티,친구형,1,서울 심층형,375.19465,6.0,특수 목적
174,2,2,2,콘텐츠 및 문화,안전 및 퀄리티,가족형,1,서울 단기형,331.333333333333,3.0,도시 소비형
176,2,6,2,가성비 및 접근성,여행 편의성,단체형,1,수도권/지방형(탐험가형),179.265,4.0,"역사, 전통, 자연"
184,2,3,4,콘텐츠 및 문화,가성비,친구형,1,서울 단기형,236.666666666667,3.0,도시 소비형
186,2,5,4,경험형,여행 편의성,가족형,1,수도권/지방형(탐험가형),125.0,4.0,"역사, 전통, 자연"
187,2,6,3,경험형,여행 편의성,가족형,1,서울 단기형,100.0,4.0,경험형
189,1,4,1,경험형,여행 편의성,가족형,4,서울 심층형,222.222222222222,9.0,경험형
190,2,4,2,가성비 및 접근성,안전 및 퀄리티,단체형,2,수도권/지방형(탐험가형),180.88,4.0,"역사, 전통, 자연"
191,1,4,1,경험형,가성비,단체형,2,서울 단기형,355.3,5.0,도시 소비형
192,2,4,1,콘텐츠 및 문화,가성비,친구형,1,서울 단기형,260.333333333333,3.0,"역사, 전통, 자연"
194,1,3,1,경험형,여행 편의성,가족형,1,서울 단기형,164.73,5.0,도시 소비형
195,2,3,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,1,서울 단기형,335.52,5.0,특수 목적
196,2,5,2,가성비 및 접근성,여행 편의성,단체형,2,서울 심층형,138.498484848485,6.0,도시 소비형
200,2,3,1,가성비 및 접근성,가성비,복합형(가족+친구),2,서울 심층형,242.25,6.0,도시 소비형
202,2,4,2,경험형,여행 편의성,가족형,1,서울 단기형,159.875,5.0,도시 소비형
204,1,3,1,경험형,안전 및 퀄리티,가족형,1,서울 단기형,166.27,5.0,도시 소비형
206,2,2,3,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 단기형,547.35,4.0,특수 목적
207,2,6,4,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 심층형,148.5375,16.0,경험형
208,1,2,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,1,서울 단기형,236.666666666667,3.0,도시 소비형
211,2,5,1,경험형,여행 편의성,가족형,1,서울 단기형,416.666666666667,3.0,"역사, 전통, 자연"
212,1,2,1,경험형,여행 편의성,가족형,1,서울 단기형,416.666666666667,3.0,도시 소비형
215,2,2,2,가성비 및 접근성,가성비,친구형,1,서울 단기형,1118.4,4.0,경험형
216,2,1,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,153.78,5.0,도시 소비형
221,2,4,1,가성비 및 접근성,안전 및 퀄리티,친구형,1,수도권/지방형(탐험가형),266.25,4.0,경험형
222,2,2,1,경험형,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),120.228,5.0,경험형
230,2,3,3,콘텐츠 및 문화,여행 편의성,친구형,1,서울 심층형,292.415,6.0,경험형
231,1,2,2,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,239.058,5.0,경험형
232,2,3,1,경험형,가성비,복합형(가족+친구),1,수도권/지방형(탐험가형),163.52,5.0,"역사, 전통, 자연"
235,1,2,2,콘텐츠 및 문화,여행 편의성,친구형,2,서울 심층형,357.142857142857,7.0,도시 소비형
236,2,5,1,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,209.7,5.0,"역사, 전통, 자연"
237,2,2,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 심층형,256.3,6.0,도시 소비형
239,2,5,4,경험형,가성비,가족형,1,서울 단기형,242.82,5.0,특수 목적
240,2,3,3,가성비 및 접근성,여행 편의성,가족형,3,서울 단기형,355.092,5.0,경험형
243,2,2,1,콘텐츠 및 문화,여행 편의성,가족형,2,서울 단기형,232.068,5.0,도시 소비형
246,1,4,1,경험형,가성비,혼자형,1,서울 심층형,400.0,8.0,도시 소비형
247,2,2,1,경험형,여행 편의성,친구형,3,서울 심층형,166.666666666667,18.0,도시 소비형
248,1,3,1,가성비 및 접근성,안전 및 퀄리티,가족형,1,서울 단기형,297.075,4.0,도시 소비형
250,1,2,1,가성비 및 접근성,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),156.9208,5.0,"역사, 전통, 자연"
251,2,2,1,가성비 및 접근성,안전 및 퀄리티,가족형,2,서울 심층형,166.857142857143,7.0,"역사, 전통, 자연"
255,2,5,1,경험형,가성비,단체형,2,수도권/지방형(탐험가형),146.0,4.0,"역사, 전통, 자연"
258,1,4,1,콘텐츠 및 문화,여행 편의성,단체형,2,수도권/지방형(탐험가형),175.2,4.0,"역사, 전통, 자연"
259,2,3,3,경험형,여행 편의성,친구형,2,수도권/지방형(탐험가형),183.033333333333,6.0,"역사, 전통, 자연"
260,2,4,4,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,185.191666666667,4.0,도시 소비형
261,1,5,4,가성비 및 접근성,가성비,가족형,1,서울 단기형,228.0875,4.0,"역사, 전통, 자연"
267,2,2,2,콘텐츠 및 문화,여행 편의성,단체형,2,수도권/지방형(탐험가형),179.265,4.0,도시 소비형
271,1,2,2,가성비 및 접근성,안전 및 퀄리티,복합형(가족+친구),1,수도권/지방형(탐험가형),193.8,5.0,"역사, 전통, 자연"
272,2,4,4,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,325.035,4.0,경험형
273,2,2,3,콘텐츠 및 문화,안전 및 퀄리티,혼자형,1,서울 심층형,51.26,30.0,경험형
276,2,2,2,가성비 및 접근성,안전 및 퀄리티,단체형,1,서울 심층형,249.786666666667,6.0,"역사, 전통, 자연"
277,2,2,2,가성비 및 접근성,여행 편의성,가족형,2,서울 단기형,145.591,5.0,특수 목적
278,2,3,1,콘텐츠 및 문화,여행 편의성,단체형,2,서울 심층형,263.864285714286,7.0,특수 목적
281,1,4,1,경험형,여행 편의성,혼자형,1,서울 단기형,1000.0,3.0,특수 목적
282,2,4,1,경험형,여행 편의성,가족형,1,서울 심층형,162.5,16.0,도시 소비형
285,1,3,1,경험형,여행 편의성,가족형,3,수도권/지방형(탐험가형),59.2592592592593,27.0,경험형
286,1,2,2,가성비 및 접근성,여행 편의성,친구형,2,수도권/지방형(탐험가형),90.117,5.0,"역사, 전통, 자연"
288,2,5,2,콘텐츠 및 문화,안전 및 퀄리티,친구형,1,서울 단기형,504.6875,4.0,도시 소비형
289,2,2,3,콘텐츠 및 문화,여행 편의성,혼자형,2,서울 심층형,228.763636363636,11.0,경험형
291,1,2,1,경험형,가성비,친구형,1,서울 심층형,137.623333333333,6.0,"역사, 전통, 자연"
292,2,4,1,경험형,여행 편의성,가족형,2,서울 심층형,217.3,9.0,"역사, 전통, 자연"
293,2,5,1,경험형,안전 및 퀄리티,가족형,2,서울 심층형,120.722222222222,6.0,특수 목적
294,2,6,1,경험형,안전 및 퀄리티,가족형,1,서울 심층형,133.333333333333,6.0,"역사, 전통, 자연"
296,2,4,4,경험형,여행 편의성,가족형,2,수도권/지방형(탐험가형),269.166666666667,6.0,특수 목적
297,2,3,1,경험형,안전 및 퀄리티,친구형,1,수도권/지방형(탐험가형),345.0,4.0,"역사, 전통, 자연"
298,2,5,1,경험형,여행 편의성,친구형,1,수도권/지방형(탐험가형),239.70752,5.0,도시 소비형
299,1,2,1,경험형,여행 편의성,가족형,1,서울 단기형,376.8,5.0,도시 소비형
302,2,2,1,가성비 및 접근성,안전 및 퀄리티,가족형,2,서울 심층형,210.121428571429,7.0,도시 소비형
303,2,1,1,콘텐츠 및 문화,가성비,가족형,1,서울 단기형,239.02,5.0,도시 소비형
304,2,5,4,경험형,여행 편의성,단체형,2,서울 심층형,438.357142857143,7.0,도시 소비형
305,2,4,2,콘텐츠 및 문화,안전 및 퀄리티,단체형,2,수도권/지방형(탐험가형),236.0,5.0,"역사, 전통, 자연"
306,1,5,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,1,수도권/지방형(탐험가형),157.0,6.0,도시 소비형
307,2,4,1,경험형,여행 편의성,복합형(가족+친구),2,수도권/지방형(탐험가형),151.84,5.0,도시 소비형
308,2,2,1,경험형,여행 편의성,가족형,2,서울 심층형,144.349285714286,7.0,경험형
310,2,4,3,가성비 및 접근성,여행 편의성,가족형,2,서울 단기형,290.7,5.0,도시 소비형
311,2,3,1,콘텐츠 및 문화,여행 편의성,가족형,1,서울 심층형,240.096666666667,6.0,특수 목적
313,2,4,1,경험형,안전 및 퀄리티,가족형,3,서울 단기형,304.22,5.0,도시 소비형
314,2,3,3,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,383.5625,4.0,도시 소비형
315,1,4,1,가성비 및 접근성,여행 편의성,가족형,2,서울 단기형,646.0,4.0,"역사, 전통, 자연"
317,2,2,2,경험형,여행 편의성,가족형,1,서울 단기형,335.92,5.0,"역사, 전통, 자연"
319,1,2,1,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 심층형,228.571428571429,7.0,특수 목적
322,2,2,3,경험형,여행 편의성,친구형,1,서울 심층형,130.38,6.0,특수 목적
323,2,3,2,콘텐츠 및 문화,여행 편의성,친구형,2,수도권/지방형(탐험가형),191.766016,5.0,도시 소비형
325,2,4,1,경험형,안전 및 퀄리티,가족형,2,서울 단기형,320.0,5.0,"역사, 전통, 자연"
328,2,2,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 심층형,507.033333333333,6.0,"역사, 전통, 자연"
329,2,3,2,경험형,여행 편의성,친구형,2,수도권/지방형(탐험가형),194.76236,5.0,도시 소비형
330,2,6,1,가성비 및 접근성,여행 편의성,단체형,2,수도권/지방형(탐험가형),202.25322,5.0,도시 소비형
332,2,3,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,2,서울 단기형,339.15,4.0,도시 소비형
333,2,5,1,가성비 및 접근성,가성비,단체형,2,수도권/지방형(탐험가형),228.47123,4.0,"역사, 전통, 자연"
334,1,4,1,경험형,여행 편의성,가족형,2,서울 심층형,141.245,8.0,경험형
336,1,1,1,경험형,안전 및 퀄리티,가족형,2,서울 심층형,67.90625,8.0,"역사, 전통, 자연"
337,1,3,2,경험형,안전 및 퀄리티,가족형,1,서울 심층형,102.613888888889,6.0,특수 목적
341,1,4,1,경험형,안전 및 퀄리티,가족형,1,서울 심층형,650.0,8.0,"역사, 전통, 자연"
344,2,2,1,콘텐츠 및 문화,여행 편의성,친구형,2,서울 심층형,162.301966666667,6.0,"역사, 전통, 자연"
345,2,2,1,가성비 및 접근성,여행 편의성,친구형,3,서울 심층형,214.285714285714,7.0,"역사, 전통, 자연"
346,2,4,1,경험형,안전 및 퀄리티,친구형,1,서울 심층형,471.428571428571,7.0,특수 목적
347,2,2,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 심층형,833.333333333333,6.0,특수 목적
348,1,3,1,경험형,여행 편의성,복합형(가족+친구),2,수도권/지방형(탐험가형),193.8,5.0,도시 소비형
353,2,2,2,경험형,안전 및 퀄리티,친구형,2,서울 심층형,285.915384615385,13.0,경험형
355,1,2,1,경험형,여행 편의성,혼자형,3,서울 심층형,168.95,12.0,"역사, 전통, 자연"
356,2,2,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,1,서울 심층형,325.0,8.0,경험형
357,2,3,1,콘텐츠 및 문화,안전 및 퀄리티,친구형,1,서울 심층형,231.702857142857,7.0,"역사, 전통, 자연"
358,2,2,2,콘텐츠 및 문화,여행 편의성,친구형,1,서울 심층형,207.24,8.0,"역사, 전통, 자연"
361,2,3,1,콘텐츠 및 문화,여행 편의성,가족형,1,서울 심층형,266.285714285714,7.0,경험형
363,2,4,1,콘텐츠 및 문화,여행 편의성,복합형(가족+친구),1,서울 심층형,425.503703703704,9.0,도시 소비형
364,2,2,1,콘텐츠 및 문화,안전 및 퀄리티,친구형,1,서울 단기형,22.0,5.0,도시 소비형
365,2,2,2,콘텐츠 및 문화,여행 편의성,혼자형,3,서울 심층형,154.322222222222,9.0,경험형
368,2,2,4,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 단기형,681.6,1.0,특수 목적
369,1,3,1,경험형,안전 및 퀄리티,가족형,1,서울 심층형,380.0,10.0,특수 목적
378,1,2,1,경험형,가성비,친구형,1,서울 단기형,220.1,3.0,도시 소비형
390,1,4,2,콘텐츠 및 문화,안전 및 퀄리티,가족형,2,서울 단기형,400.52,5.0,도시 소비형
392,2,4,2,경험형,가성비,가족형,3,수도권/지방형(탐험가형),245.48,5.0,특수 목적
401,2,4,3,경험형,안전 및 퀄리티,가족형,3,서울 단기형,523.26,5.0,특수 목적
405,2,4,2,콘텐츠 및 문화,여행 편의성,복합형(가족+친구),3,서울 단기형,277.78,5.0,도시 소비형
406,2,5,1,콘텐츠 및 문화,여행 편의성,가족형,2,수도권/지방형(탐험가형),212.858333333333,9.0,특수 목적
407,2,3,2,콘텐츠 및 문화,여행 편의성,가족형,2,서울 단기형,323.0,5.0,"역사, 전통, 자연"
410,2,2,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,2,서울 단기형,277.78,5.0,도시 소비형
420,2,2,1,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 심층형,201.875,8.0,특수 목적
425,1,2,1,경험형,여행 편의성,가족형,1,서울 단기형,391.44,5.0,도시 소비형
426,2,2,4,경험형,여행 편의성,혼자형,2,서울 심층형,85.5234375,16.0,특수 목적
427,2,2,1,콘텐츠 및 문화,안전 및 퀄리티,친구형,1,서울 단기형,150.984,5.0,도시 소비형
428,2,2,2,가성비 및 접근성,여행 편의성,친구형,2,서울 심층형,128.15,6.0,경험형
429,1,3,1,경험형,안전 및 퀄리티,친구형,4,서울 심층형,193.7619,10.0,경험형
432,1,2,3,경험형,여행 편의성,친구형,1,수도권/지방형(탐험가형),195.25,4.0,"역사, 전통, 자연"
433,2,4,2,가성비 및 접근성,여행 편의성,복합형(가족+친구),2,수도권/지방형(탐험가형),242.25,4.0,도시 소비형
434,2,2,1,경험형,여행 편의성,친구형,1,서울 단기형,212.496,5.0,도시 소비형
436,2,3,2,경험형,여행 편의성,단체형,2,수도권/지방형(탐험가형),180.88,5.0,경험형
437,2,2,4,경험형,여행 편의성,가족형,4,서울 심층형,137.096774193548,31.0,"역사, 전통, 자연"
440,2,3,1,경험형,여행 편의성,직장형,2,서울 심층형,138.428571428571,7.0,도시 소비형
444,2,2,1,콘텐츠 및 문화,여행 편의성,친구형,1,서울 심층형,355.277777777778,9.0,도시 소비형
446,2,3,1,콘텐츠 및 문화,여행 편의성,혼자형,1,서울 단기형,355.092,5.0,경험형
456,2,2,1,가성비 및 접근성,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),189.278,5.0,특수 목적
458,2,2,2,콘텐츠 및 문화,안전 및 퀄리티,혼자형,2,서울 심층형,185.734285714286,7.0,특수 목적
460,1,5,1,가성비 및 접근성,안전 및 퀄리티,복합형(가족+친구),2,수도권/지방형(탐험가형),206.72,5.0,"역사, 전통, 자연"
462,2,2,1,경험형,여행 편의성,혼자형,2,서울 심층형,136.8375,16.0,경험형
463,1,4,2,가성비 및 접근성,여행 편의성,단체형,2,수도권/지방형(탐험가형),225.2925,4.0,도시 소비형
464,2,3,1,경험형,가성비,친구형,1,서울 단기형,265.62,5.0,도시 소비형
465,2,2,1,경험형,안전 및 퀄리티,단체형,2,수도권/지방형(탐험가형),174.42,5.0,"역사, 전통, 자연"
467,2,3,1,가성비 및 접근성,안전 및 퀄리티,친구형,2,서울 심층형,180.88,6.0,도시 소비형
468,2,5,1,가성비 및 접근성,안전 및 퀄리티,복합형(가족+친구),2,수도권/지방형(탐험가형),206.72,5.0,도시 소비형
469,2,4,1,가성비 및 접근성,여행 편의성,단체형,2,수도권/지방형(탐험가형),182.172,5.0,"역사, 전통, 자연"
470,2,4,2,경험형,여행 편의성,친구형,1,수도권/지방형(탐험가형),258.4,5.0,도시 소비형
471,2,5,4,경험형,가성비,가족형,1,서울 단기형,260.333333333333,3.0,도시 소비형
472,2,3,1,가성비 및 접근성,가성비,가족형,2,서울 심층형,123.816666666667,6.0,도시 소비형
473,2,5,4,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,265.066666666667,3.0,특수 목적
475,1,5,1,경험형,여행 편의성,가족형,4,서울 심층형,292.846666666667,15.0,"역사, 전통, 자연"
476,2,2,2,경험형,안전 및 퀄리티,친구형,1,수도권/지방형(탐험가형),255.8,5.0,"역사, 전통, 자연"
477,2,2,4,기타,여행 편의성,친구형,1,서울 단기형,426.0,3.0,특수 목적
478,2,2,1,콘텐츠 및 문화,여행 편의성,친구형,2,서울 심층형,341.066666666667,6.0,경험형
479,2,2,4,경험형,여행 편의성,가족형,1,서울 심층형,284.693333333333,9.0,특수 목적
482,2,6,4,콘텐츠 및 문화,여행 편의성,가족형,2,서울 심층형,119.90625,8.0,"역사, 전통, 자연"
483,2,5,3,경험형,여행 편의성,친구형,1,서울 심층형,525.6,6.0,경험형
484,2,2,4,콘텐츠 및 문화,여행 편의성,친구형,1,서울 단기형,218.325,4.0,도시 소비형
486,2,2,1,가성비 및 접근성,여행 편의성,친구형,1,수도권/지방형(탐험가형),230.75,4.0,"역사, 전통, 자연"
487,2,2,4,기타,가성비,친구형,1,서울 단기형,284.0,4.0,도시 소비형
488,2,5,4,콘텐츠 및 문화,안전 및 퀄리티,가족형,2,서울 심층형,258.377142857143,7.0,도시 소비형
490,1,4,2,콘텐츠 및 문화,여행 편의성,가족형,2,서울 심층형,212.916666666667,8.0,"역사, 전통, 자연"
492,2,3,3,콘텐츠 및 문화,안전 및 퀄리티,친구형,1,서울 단기형,383.7,4.0,도시 소비형
493,1,2,3,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,253.825,4.0,도시 소비형
494,2,2,1,경험형,여행 편의성,가족형,2,서울 심층형,164.85,8.0,도시 소비형
495,1,3,1,콘텐츠 및 문화,여행 편의성,가족형,1,서울 심층형,199.668181818182,11.0,도시 소비형
496,2,5,3,경험형,여행 편의성,친구형,1,수도권/지방형(탐험가형),307.666666666667,3.0,도시 소비형
498,1,4,4,가성비 및 접근성,안전 및 퀄리티,가족형,2,서울 심층형,127.854166666667,6.0,특수 목적
500,2,4,2,가성비 및 접근성,안전 및 퀄리티,혼자형,5,서울 심층형,93.2,15.0,"역사, 전통, 자연"
501,1,3,1,가성비 및 접근성,가성비,친구형,1,서울 단기형,365.0,4.0,도시 소비형
502,1,3,4,경험형,안전 및 퀄리티,혼자형,1,서울 단기형,124.25,4.0,도시 소비형
506,2,2,2,가성비 및 접근성,여행 편의성,친구형,2,수도권/지방형(탐험가형),190.28,5.0,도시 소비형
508,1,2,1,경험형,여행 편의성,가족형,5,서울 심층형,219.635,10.0,"역사, 전통, 자연"
509,2,3,1,가성비 및 접근성,여행 편의성,친구형,1,수도권/지방형(탐험가형),234.3,4.0,특수 목적
510,2,1,1,콘텐츠 및 문화,여행 편의성,가족형,2,서울 심층형,157.0,8.0,도시 소비형
512,2,3,2,콘텐츠 및 문화,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),273.333333333333,6.0,"역사, 전통, 자연"
513,2,3,4,콘텐츠 및 문화,여행 편의성,가족형,1,서울 단기형,699.0,5.0,경험형
516,2,3,2,경험형,여행 편의성,가족형,1,수도권/지방형(탐험가형),284.0,3.0,도시 소비형
518,2,5,1,기타,여행 편의성,가족형,3,수도권/지방형(탐험가형),354.166666666667,12.0,특수 목적
519,2,3,2,경험형,여행 편의성,혼자형,1,서울 심층형,499.285714285714,7.0,경험형
520,2,5,2,경험형,여행 편의성,친구형,1,수도권/지방형(탐험가형),346.656,5.0,"역사, 전통, 자연"
527,1,4,1,가성비 및 접근성,여행 편의성,복합형(가족+친구),2,수도권/지방형(탐험가형),175.2,5.0,"역사, 전통, 자연"
528,1,2,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,1,서울 심층형,375.0,12.0,"역사, 전통, 자연"
529,1,2,1,콘텐츠 및 문화,안전 및 퀄리티,가족형,2,서울 심층형,282.6,6.0,"역사, 전통, 자연"
530,1,2,3,경험형,안전 및 퀄리티,친구형,2,서울 심층형,340.666666666667,6.0,도시 소비형
531,2,3,2,가성비 및 접근성,여행 편의성,친구형,1,서울 단기형,720.0,5.0,특수 목적
532,2,2,1,콘텐츠 및 문화,여행 편의성,혼자형,2,수도권/지방형(탐험가형),165.856,5.0,"역사, 전통, 자연"
534,2,3,2,가성비 및 접근성,가성비,단체형,3,수도권/지방형(탐험가형),174.616,5.0,도시 소비형
536,1,3,1,경험형,여행 편의성,가족형,2,수도권/지방형(탐험가형),353.571428571428,7.0,"역사, 전통, 자연"
