아이디,국가별,성별,연령별,문1. 주요 방한 목적,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1순위,문3-1. 고려한 관광활동_1순위,문3-2. 고려한 관광인프라_1순위,"문10. 1인 1일 지출경비(영향치 결측, 61일 이상 결측, 국제교통비 제외)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역,총 국내 지출경비,총 식비_비율,총 국내 교통비_비율,총 체험/활동비_비율,총 뷰티/의료비_비율,총 여행 서비스비_비율,숙박비_비율,쇼핑비_비율,기타 비용_비율
163.0,7.0,2.0,5.0,1,1.0,7.0,7.0,4.0,330.0,4.0,1. 호텔,가족형,1,서울,1320.0,0.03787878787878788,0.0,0.0,0.0,0.8106060606060606,0.0,0.15151515151515152,0.0
167.0,1.0,2.0,2.0,1,4.0,5.0,1.0,5.0,,5.0,1. 호텔,혼자형,1,서울,11201.3,0.1333336309178399,0.0333336309178399,0.0,0.04444484122378652,0.0,0.06666636908216012,0.7222215278583736,0.0
171.0,2.0,2.0,4.0,1,4.0,11.0,2.0,12.0,114.0,3.0,1. 호텔,친구형,1,서울,342.0,0.3333333333333333,0.06666666666666667,0.0,0.2222222222222222,0.0,0.15555555555555556,0.2222222222222222,0.0
178.0,10.0,2.0,2.0,1,3.0,2.0,7.0,6.0,161.44,6.0,1. 호텔,가족형,1,서울,968.65,0.23077478965570639,0.05769885923708254,0.15384297733959637,0.0,0.0,0.23076446600939451,0.30768595467919274,0.01923295307902751
181.0,15.0,2.0,2.0,1,1.0,1.0,7.0,2.0,180.18,11.0,1. 호텔,가족형,2,서울,1981.9299999999998,0.20573885051439758,0.040001412764325686,0.03314446019788792,0.0,0.0,0.2286004046560676,0.4571957637252577,0.03531910814206355
182.0,3.0,1.0,3.0,1,1.0,4.0,2.0,5.0,301.55,5.0,1. 호텔,가족형,2,서울,1507.75,0.21621621621621623,0.05405405405405406,0.0,0.0,0.021621621621621623,0.16216216216216217,0.5405405405405406,0.005405405405405406
185.0,5.0,2.0,5.0,1,2.0,7.0,2.0,3.0,448.35,6.0,1. 호텔,가족형,2,강원,2690.1,0.047619047619047616,0.0,0.0,0.0,0.5238095238095238,0.0,0.4285714285714286,0.0
187.0,3.0,2.0,3.0,1,1.0,8.0,5.0,4.0,319.89,4.0,1. 호텔,친구형,1,서울,1279.5500000000002,0.5095541401273884,0.025477707006369425,0.0,0.0,0.0,0.2038216560509554,0.2547770700636942,0.006369426751592356
188.0,10.0,1.0,1.0,1,2.0,2.0,3.0,4.0,248.21,4.0,1. 호텔,가족형,1,서울,992.8499999999999,0.20638565745077303,0.03377146598176966,0.0,0.0,0.0,0.37523291534471476,0.37523291534471476,0.009377045878027901
191.0,3.0,2.0,4.0,1,4.0,6.0,3.0,6.0,326.98,4.0,1. 호텔,친구형,1,서울,1307.91,0.2367899931952504,0.024925262441605308,0.0,0.05982062985985274,0.0,0.17447683709123715,0.4985052488321062,0.0054820285799481614
192.0,5.0,2.0,1.0,1,1.0,8.0,7.0,9.0,563.64,5.0,1. 호텔,가족형,2,서울,2818.2,0.09090909090909091,0.0,0.0,0.0,0.6818181818181819,0.0,0.2272727272727273,0.0
194.0,15.0,1.0,2.0,1,1.0,7.0,7.0,3.0,97.09,14.0,1. 호텔,가족형,2,서울,1359.2,0.08333578575632725,0.08333578575632725,0.0,0.0,0.0,0.16666421424367275,0.6666642142436727,0.0
195.0,10.0,2.0,3.0,1,1.0,1.0,1.0,9.0,156.47,5.0,1. 호텔,가족형,1,서울,782.3700000000001,0.21428480130884361,0.07143678822040721,0.0,0.0,0.0,0.23809706404897935,0.4761813464217697,0.0
198.0,3.0,2.0,4.0,1,3.0,2.0,3.0,4.0,521.6,5.0,1. 호텔,친구형,1,서울,2608.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
199.0,15.0,1.0,2.0,1,1.0,1.0,2.0,6.0,283.17,9.0,8. 기타,친구형,1,서울,2548.5,0.16,0.026666666666666665,0.013333333333333332,0.0,0.0,0.32,0.48,0.0
201.0,10.0,2.0,1.0,1,1.0,1.0,11.0,5.0,130.89,5.0,1. 호텔,가족형,1,서울,654.46,0.3036090822968554,0.07969929407450416,0.04744369403783272,0.0,0.0,0.43642086605751307,0.13282706353329463,0.0
202.0,3.0,2.0,2.0,1,1.0,4.0,5.0,5.0,315.13,6.0,1. 호텔,단체형,1,서울,1890.8,0.0,0.0,0.0,0.0,0.48275862068965514,0.0,0.5172413793103449,0.0
203.0,3.0,2.0,3.0,1,4.0,5.0,3.0,5.0,218.89,7.0,1. 호텔,가족형,2,서울,1532.2,0.2127659574468085,0.1276595744680851,0.02127659574468085,0.0,0.0,0.425531914893617,0.2127659574468085,0.0
204.0,15.0,1.0,2.0,1,1.0,1.0,10.0,4.0,129.12,8.0,1. 호텔+8. 기타,단체형,3,서울,1032.99,0.2631584042439908,0.06578960106099768,0.013155984085034704,0.0,0.06578960106099768,0.32894800530498847,0.26315840424399073,0.0
205.0,3.0,2.0,4.0,1,3.0,2.0,2.0,5.0,80.92,7.0,1. 호텔,가족형,2,서울,566.4300000000001,0.25899051956993796,0.057553448793319556,0.0,0.0,0.18417103613862257,0.34532069275991734,0.1438836219832989,0.010080680754903518
207.0,3.0,1.0,3.0,1,1.0,3.0,15.0,6.0,82.32,8.0,4. 게스트하우스/호스텔,직장형,2,서울,658.52,0.3465346534653465,0.10891089108910891,0.19801980198019803,0.0,0.0,0.3465346534653465,0.0,0.0
209.0,15.0,1.0,2.0,1,2.0,2.0,1.0,10.0,162.42,10.0,3. 콘도미니엄/리조트,단체형,1,서울,1624.2500000000002,0.5020901954748345,0.05439433584731413,0.020920424811451434,0.0,0.04184084962290287,0.25104509773741723,0.10460212405725719,0.02510697244882253
211.0,13.0,1.0,3.0,1,1.0,8.0,1.0,4.0,108.57,8.0,1. 호텔,단체형,2,서울,868.56,0.16666666666666666,0.05555171778576034,1.1513309385649811e-05,0.0,0.0,0.5555517177857603,0.222218384452427,0.0
213.0,3.0,2.0,2.0,1,3.0,2.0,1.0,5.0,307.89,3.0,1. 호텔,가족형,1,서울,923.6600000000001,0.23529220708918866,0.058820345148647764,0.0,0.0,0.0,0.23529220708918866,0.47059524067297487,0.0
216.0,2.0,2.0,2.0,1,4.0,7.0,2.0,12.0,146.93,3.0,1. 호텔,친구형,1,서울,440.8,0.17241379310344826,0.051724137931034475,0.034482758620689655,0.0,0.0,0.17241379310344826,0.5172413793103449,0.05172413793103448
218.0,2.0,2.0,2.0,1,4.0,5.0,2.0,5.0,167.2,3.0,1. 호텔,친구형,1,서울,501.6,0.1212121212121212,0.045454545454545456,0.0,0.0,0.0,0.22727272727272727,0.6060606060606061,0.0
227.0,6.0,1.0,3.0,1,1.0,7.0,4.0,6.0,216.75,6.0,1. 호텔,친구형,2,부산,1300.5,0.13333333333333333,0.15555555555555556,0.0,0.0,0.0,0.13333333333333333,0.5777777777777777,0.0
236.0,8.0,2.0,2.0,1,1.0,1.0,15.0,3.0,307.59,4.0,1. 호텔+3. 콘도미니엄/리조트,가족형,2,서울,1230.34,0.0,0.0,0.0,0.0,0.9261992619926199,0.0,0.07380073800738007,0.0
238.0,6.0,2.0,4.0,1,1.0,1.0,1.0,9.0,472.03,6.0,1. 호텔,혼자형,1,서울,2832.2,0.06122448979591837,0.05102040816326531,0.05102040816326531,0.0,0.10204081632653061,0.22448979591836735,0.40816326530612246,0.10204081632653061
248.0,8.0,1.0,4.0,1,1.0,1.0,15.0,12.0,314.96,4.0,1. 호텔,가족형,2,서울,1259.85,0.018018018018018018,0.0,0.0,0.0,0.9099099099099099,0.0,0.07207207207207207,0.0
252.0,18.0,1.0,2.0,1,1.0,1.0,16.0,6.0,59.28,6.0,1. 호텔+4. 게스트하우스/호스텔,가족형,3,서울,355.71000000000004,0.2403362289505496,0.008686851648815044,0.0,0.0,0.0,0.7509769194006353,0.0,0.0
255.0,97.0,2.0,2.0,1,2.0,2.0,5.0,6.0,86.67,6.0,1. 호텔,가족형,1,서울,520.0,0.11538461538461539,0.0,0.0,0.0,0.5,0.38461538461538464,0.0,0.0
256.0,3.0,2.0,3.0,1,1.0,8.0,1.0,6.0,958.44,5.0,1. 호텔,가족형,2,서울,4792.2,0.0,0.0,0.0,0.0,0.38775510204081637,0.0,0.6122448979591837,0.0
260.0,3.0,1.0,3.0,1,1.0,5.0,3.0,2.0,521.6,5.0,1. 호텔,가족형,2,서울,2608.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0
261.0,4.0,2.0,3.0,1,2.0,2.0,6.0,1.0,286.0,5.0,1. 호텔,혼자형,1,서울,1430.0,0.13986013986013987,0.13986013986013987,0.02097902097902098,0.0,0.0,0.34965034965034963,0.34965034965034963,0.0
262.0,6.0,1.0,1.0,1,1.0,1.0,2.0,5.0,72.25,4.0,1. 호텔,직장형,1,서울,325.59000000000003,0.0,0.0,0.0,0.0,0.0,0.25000767836850024,0.7499923216314996,0.0
266.0,6.0,2.0,1.0,1,1.0,1.0,11.0,5.0,285.53,4.0,1. 호텔,친구형,1,서울,1142.13,0.0,0.0,0.0,0.0,0.8856259795294755,0.0,0.11437402047052436,0.0
267.0,6.0,2.0,2.0,1,1.0,4.0,7.0,10.0,257.93,4.0,1. 호텔,혼자형,1,서울,1031.73,0.0,0.0,0.0,0.0,0.7198879551820728,0.0,0.2801120448179272,0.0
268.0,1.0,1.0,3.0,1,4.0,3.0,16.0,4.0,27.39,31.0,7. 친척 또는 친구 집,혼자형,1,서울,849.24,0.9090951909943007,0.09090480900569922,0.0,0.0,0.0,0.0,0.0,0.0
270.0,16.0,2.0,3.0,1,2.0,2.0,1.0,3.0,208.17,11.0,1. 호텔,혼자형,1,서울,2289.8799999999997,0.10526315789473685,0.026315789473684213,0.010524568973046624,0.0,0.0,0.4210526315789474,0.4210526315789474,0.01579122050063759
275.0,3.0,1.0,2.0,1,2.0,5.0,10.0,5.0,163.0,5.0,1. 호텔,가족형,2,서울,815.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0
277.0,10.0,2.0,2.0,1,3.0,2.0,7.0,3.0,149.02,5.0,1. 호텔,가족형,2,서울,745.11,0.15000469729301713,0.07499563822791266,0.0,0.0,0.0,0.25000335520929795,0.5249963092697723,0.0
286.0,13.0,2.0,3.0,1,1.0,9.0,11.0,7.0,170.05,10.0,1. 호텔,혼자형,1,서울,1700.48,0.19570944674444862,0.011290929619872037,0.011290929619872036,0.0,0.006398193451260821,0.3763643206624012,0.3763643206624012,0.02258185923974407
288.0,14.0,2.0,4.0,1,1.0,1.0,4.0,5.0,82.5,8.0,1. 호텔,가족형,2,서울,659.98,0.11173065850480317,0.02794024061335192,0.0,0.0,0.0,0.5586532925240159,0.2793266462620079,0.022349162095821086
289.0,3.0,1.0,3.0,1,4.0,9.0,2.0,5.0,175.68,6.0,1. 호텔,가족형,2,서울,1054.0700000000002,0.41237299230601376,0.01546386862352595,0.01546386862352595,0.0,0.0,0.5154591251055433,0.041240145341390984,0.0
293.0,1.0,2.0,3.0,1,2.0,11.0,4.0,3.0,279.78,8.0,7. 친척 또는 친구 집,혼자형,1,서울,2238.2,0.19354838709677422,0.03225806451612904,0.0,0.0,0.0,0.0,0.7741935483870969,0.0
296.0,5.0,2.0,3.0,1,1.0,3.0,1.0,2.0,256.2,6.0,1. 호텔+3. 콘도미니엄/리조트,가족형,2,서울,1537.2,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.16666666666666666,0.0
297.0,3.0,1.0,3.0,1,4.0,5.0,4.0,10.0,175.23,4.0,1. 호텔,가족형,1,서울,700.9,0.11627906976744186,0.06976744186046512,0.0,0.0,0.0,0.11627906976744186,0.6976744186046512,0.0
300.0,9.0,2.0,4.0,1,4.0,8.0,5.0,6.0,12.98,60.0,1. 호텔,혼자형,2,제주,778.65,0.16091954022988506,0.22988505747126436,0.0,0.0,0.0,0.3448275862068966,0.22988505747126436,0.034482758620689655
303.0,11.0,1.0,3.0,1,1.0,1.0,4.0,3.0,22.83,51.0,4. 게스트하우스/호스텔,친구형,2,서울,1164.5,0.23529411764705882,0.0,0.11764705882352941,0.0,0.0,0.29411764705882354,0.11764705882352941,0.23529411764705882
304.0,3.0,2.0,4.0,1,1.0,4.0,2.0,2.0,302.37,4.0,1. 호텔,가족형,2,서울,1209.46,0.0673854447439353,0.009433962264150943,0.1078167115902965,0.0,0.8086253369272237,0.0,0.0,0.006738544474393531
307.0,5.0,1.0,2.0,1,2.0,3.0,1.0,8.0,180.5,11.0,1. 호텔,가족형,1,서울,1985.55,0.6451612903225806,0.03225806451612903,0.0,0.0,0.0,0.3225806451612903,0.0,0.0
308.0,3.0,1.0,3.0,1,2.0,7.0,11.0,5.0,421.08,3.0,1. 호텔,가족형,2,서울,1263.25,0.0,0.0,0.0,0.0,0.6774193548387096,0.0,0.3225806451612903,0.0
311.0,3.0,2.0,1.0,1,1.0,7.0,2.0,6.0,273.84,5.0,1. 호텔,가족형,3,서울,1369.2,0.047619047619047616,0.0,0.0,0.0,0.8333333333333333,0.0,0.11904761904761904,0.0
312.0,12.0,2.0,2.0,1,1.0,7.0,4.0,6.0,,55.0,1. 호텔+7. 친척 또는 친구 집+8. 기타,혼자형,5,서울,11300.0,0.17699115044247787,0.02654867256637168,0.0,0.0,0.0,0.5309734513274337,0.26548672566371684,0.0
320.0,11.0,2.0,5.0,1,4.0,2.0,1.0,1.0,410.04,6.0,1. 호텔,가족형,1,서울,2460.2200000000003,0.1194364731609368,0.043431075269691324,0.0,0.0,0.0,0.1737243010787653,0.6514661290453698,0.011942021445236603
323.0,5.0,2.0,3.0,1,4.0,2.0,4.0,3.0,59.78,5.0,1. 호텔,가족형,1,서울,298.90000000000003,0.2857142857142857,0.0,0.2142857142857143,0.0,0.0,0.14285714285714285,0.3571428571428571,0.0
324.0,5.0,2.0,5.0,1,3.0,4.0,11.0,4.0,373.09,8.0,1. 호텔,가족형,2,서울,2984.73,0.0,0.0,0.0,0.0,0.5708154506437768,0.0,0.4291845493562232,0.0
325.0,12.0,2.0,5.0,1,1.0,1.0,4.0,12.0,269.33,15.0,3. 콘도미니엄/리조트+7. 친척 또는 친구 집,친구형,2,서울,4040.0,0.0297029702970297,0.0297029702970297,0.0,0.0,0.0,0.19801980198019803,0.7425742574257426,0.0
329.0,8.0,1.0,5.0,1,4.0,2.0,15.0,9.0,204.3,5.0,1. 호텔,친구형,1,강원,1021.5,0.24444444444444444,0.3111111111111111,0.0,0.0,0.0,0.4444444444444444,0.0,0.0
331.0,5.0,2.0,3.0,1,3.0,3.0,2.0,6.0,343.67,7.0,1. 호텔,가족형,2,서울,2405.7200000000003,0.10649618409457458,0.0,0.0,0.0,0.7337595397635635,0.0,0.15974427614186187,0.0
336.0,5.0,2.0,6.0,1,2.0,3.0,3.0,6.0,232.27,7.0,1. 호텔,단체형,2,서울,1625.9099999999999,0.4767361047044425,0.014244330867022162,0.000947161897029971,0.0,0.004748110289007387,0.028488661734044324,0.0,0.47483563050845373
337.0,5.0,1.0,3.0,1,2.0,4.0,6.0,4.0,153.72,5.0,1. 호텔,단체형,1,서울,768.6,0.49999999999999994,0.06666666666666667,0.0,0.0,0.0,0.26666666666666666,0.16666666666666666,0.0
340.0,1.0,2.0,4.0,1,4.0,4.0,1.0,1.0,69.73,31.0,7. 친척 또는 친구 집,혼자형,1,서울,2161.71,0.35714318756910035,0.03571246836994787,0.0,0.0,0.0,0.0,0.5357147813536506,0.07142956270730116
349.0,2.0,1.0,5.0,1,4.0,6.0,2.0,3.0,244.47,3.0,1. 호텔,친구형,1,서울,733.4,0.2072538860103627,0.04145077720207254,0.0,0.0,0.0,0.4145077720207254,0.31088082901554404,0.02590673575129534
350.0,5.0,1.0,2.0,1,1.0,1.0,11.0,10.0,217.77,6.0,1. 호텔,가족형,1,서울,1306.62,0.0,0.0,0.0,0.0,0.9803921568627452,0.0,0.019607843137254905,0.0
