아이디,국가별,성별,연령별,문1. 주요 방한 목적,한국 방문횟수(카테고리),문1-1. 한국여행 관심 계기_1순위,문3-1. 고려한 관광활동_1순위,문3-2. 고려한 관광인프라_1순위,"문10. 1인 1일 지출경비(영향치 결측, 61일 이상 결측, 국제교통비 제외)",문9-3. 총 체재기간_61일 이상 결측,숙박시설_그룹,여행동반자_그룹,방문 지역 수,주요 체재 지역
199.0,15.0,1.0,2.0,1,1.0,1.0,2.0,6.0,283.17,9.0,8. 기타,친구형,1,서울
201.0,10.0,2.0,1.0,1,1.0,1.0,11.0,5.0,130.89,5.0,1. 호텔,가족형,1,서울
202.0,3.0,2.0,2.0,1,1.0,4.0,5.0,5.0,315.13,6.0,1. 호텔,단체형,1,서울
203.0,3.0,2.0,3.0,1,4.0,5.0,3.0,5.0,218.89,7.0,1. 호텔,가족형,2,서울
204.0,15.0,1.0,2.0,1,1.0,1.0,10.0,4.0,129.12,8.0,1. 호텔+8. 기타,단체형,3,서울
205.0,3.0,2.0,4.0,1,3.0,2.0,2.0,5.0,80.92,7.0,1. 호텔,가족형,2,서울
207.0,3.0,1.0,3.0,1,1.0,3.0,15.0,6.0,82.32,8.0,4. 게스트하우스/호스텔,직장형,2,서울
209.0,15.0,1.0,2.0,1,2.0,2.0,1.0,10.0,162.42,10.0,3. 콘도미니엄/리조트,단체형,1,서울
211.0,13.0,1.0,3.0,1,1.0,8.0,1.0,4.0,108.57,8.0,1. 호텔,단체형,2,서울
213.0,3.0,2.0,2.0,1,3.0,2.0,1.0,5.0,307.89,3.0,1. 호텔,가족형,1,서울
216.0,2.0,2.0,2.0,1,4.0,7.0,2.0,12.0,146.93,3.0,1. 호텔,친구형,1,서울
218.0,2.0,2.0,2.0,1,4.0,5.0,2.0,5.0,167.2,3.0,1. 호텔,친구형,1,서울
227.0,6.0,1.0,3.0,1,1.0,7.0,4.0,6.0,216.75,6.0,1. 호텔,친구형,2,부산
236.0,8.0,2.0,2.0,1,1.0,1.0,15.0,3.0,307.59,4.0,1. 호텔+3. 콘도미니엄/리조트,가족형,2,서울
238.0,6.0,2.0,4.0,1,1.0,1.0,1.0,9.0,472.03,6.0,1. 호텔,혼자형,1,서울
248.0,8.0,1.0,4.0,1,1.0,1.0,15.0,12.0,314.96,4.0,1. 호텔,가족형,2,서울
252.0,18.0,1.0,2.0,1,1.0,1.0,16.0,6.0,59.28,6.0,1. 호텔+4. 게스트하우스/호스텔,가족형,3,서울
255.0,97.0,2.0,2.0,1,2.0,2.0,5.0,6.0,86.67,6.0,1. 호텔,가족형,1,서울
256.0,3.0,2.0,3.0,1,1.0,8.0,1.0,6.0,958.44,5.0,1. 호텔,가족형,2,서울
260.0,3.0,1.0,3.0,1,1.0,5.0,3.0,2.0,521.6,5.0,1. 호텔,가족형,2,서울
261.0,4.0,2.0,3.0,1,2.0,2.0,6.0,1.0,286.0,5.0,1. 호텔,혼자형,1,서울
262.0,6.0,1.0,1.0,1,1.0,1.0,2.0,5.0,72.25,4.0,1. 호텔,직장형,1,서울
266.0,6.0,2.0,1.0,1,1.0,1.0,11.0,5.0,285.53,4.0,1. 호텔,친구형,1,서울
267.0,6.0,2.0,2.0,1,1.0,4.0,7.0,10.0,257.93,4.0,1. 호텔,혼자형,1,서울
268.0,1.0,1.0,3.0,1,4.0,3.0,16.0,4.0,27.39,31.0,7. 친척 또는 친구 집,혼자형,1,서울
270.0,16.0,2.0,3.0,1,2.0,2.0,1.0,3.0,208.17,11.0,1. 호텔,혼자형,1,서울
275.0,3.0,1.0,2.0,1,2.0,5.0,10.0,5.0,163.0,5.0,1. 호텔,가족형,2,서울
277.0,10.0,2.0,2.0,1,3.0,2.0,7.0,3.0,149.02,5.0,1. 호텔,가족형,2,서울
286.0,13.0,2.0,3.0,1,1.0,9.0,11.0,7.0,170.05,10.0,1. 호텔,혼자형,1,서울
288.0,14.0,2.0,4.0,1,1.0,1.0,4.0,5.0,82.5,8.0,1. 호텔,가족형,2,서울
289.0,3.0,1.0,3.0,1,4.0,9.0,2.0,5.0,175.68,6.0,1. 호텔,가족형,2,서울
293.0,1.0,2.0,3.0,1,2.0,11.0,4.0,3.0,279.78,8.0,7. 친척 또는 친구 집,혼자형,1,서울
296.0,5.0,2.0,3.0,1,1.0,3.0,1.0,2.0,256.2,6.0,1. 호텔+3. 콘도미니엄/리조트,가족형,2,서울
297.0,3.0,1.0,3.0,1,4.0,5.0,4.0,10.0,175.23,4.0,1. 호텔,가족형,1,서울
300.0,9.0,2.0,4.0,1,4.0,8.0,5.0,6.0,12.98,60.0,1. 호텔,혼자형,2,제주
303.0,11.0,1.0,3.0,1,1.0,1.0,4.0,3.0,22.83,51.0,4. 게스트하우스/호스텔,친구형,2,서울
304.0,3.0,2.0,4.0,1,1.0,4.0,2.0,2.0,302.37,4.0,1. 호텔,가족형,2,서울
307.0,5.0,1.0,2.0,1,2.0,3.0,1.0,8.0,180.5,11.0,1. 호텔,가족형,1,서울
308.0,3.0,1.0,3.0,1,2.0,7.0,11.0,5.0,421.08,3.0,1. 호텔,가족형,2,서울
311.0,3.0,2.0,1.0,1,1.0,7.0,2.0,6.0,273.84,5.0,1. 호텔,가족형,3,서울
312.0,12.0,2.0,2.0,1,1.0,7.0,4.0,6.0,,55.0,1. 호텔+7. 친척 또는 친구 집+8. 기타,혼자형,5,서울
320.0,11.0,2.0,5.0,1,4.0,2.0,1.0,1.0,410.04,6.0,1. 호텔,가족형,1,서울
323.0,5.0,2.0,3.0,1,4.0,2.0,4.0,3.0,59.78,5.0,1. 호텔,가족형,1,서울
324.0,5.0,2.0,5.0,1,3.0,4.0,11.0,4.0,373.09,8.0,1. 호텔,가족형,2,서울
325.0,12.0,2.0,5.0,1,1.0,1.0,4.0,12.0,269.33,15.0,3. 콘도미니엄/리조트+7. 친척 또는 친구 집,친구형,2,서울
329.0,8.0,1.0,5.0,1,4.0,2.0,15.0,9.0,204.3,5.0,1. 호텔,친구형,1,강원
331.0,5.0,2.0,3.0,1,3.0,3.0,2.0,6.0,343.67,7.0,1. 호텔,가족형,2,서울
336.0,5.0,2.0,6.0,1,2.0,3.0,3.0,6.0,232.27,7.0,1. 호텔,단체형,2,서울
337.0,5.0,1.0,3.0,1,2.0,4.0,6.0,4.0,153.72,5.0,1. 호텔,단체형,1,서울
340.0,1.0,2.0,4.0,1,4.0,4.0,1.0,1.0,69.73,31.0,7. 친척 또는 친구 집,혼자형,1,서울
349.0,2.0,1.0,5.0,1,4.0,6.0,2.0,3.0,244.47,3.0,1. 호텔,친구형,1,서울
350.0,5.0,1.0,2.0,1,1.0,1.0,11.0,10.0,217.77,6.0,1. 호텔,가족형,1,서울
351.0,11.0,2.0,5.0,1,4.0,8.0,6.0,6.0,260.0,15.0,1. 호텔,가족형,1,서울
352.0,16.0,2.0,2.0,1,1.0,8.0,2.0,5.0,53.38,6.0,1. 호텔,가족형,1,서울
355.0,15.0,2.0,2.0,1,2.0,2.0,6.0,5.0,75.51,15.0,8. 기타,가족형,2,서울
356.0,6.0,1.0,5.0,1,1.0,9.0,1.0,4.0,52.02,5.0,1. 호텔,직장형,1,서울
358.0,5.0,2.0,2.0,1,4.0,2.0,15.0,5.0,123.83,5.0,1. 호텔,가족형,3,서울
360.0,13.0,1.0,3.0,1,1.0,10.0,5.0,3.0,124.8,5.0,1. 호텔,친구형,2,서울
363.0,4.0,1.0,4.0,1,1.0,8.0,6.0,6.0,169.09,11.0,1. 호텔,혼자형,1,서울
365.0,10.0,2.0,4.0,1,3.0,2.0,5.0,6.0,75.34,6.0,1. 호텔,가족형,1,서울
370.0,3.0,1.0,3.0,1,1.0,1.0,2.0,6.0,221.21,7.0,1. 호텔,가족형,1,서울
379.0,15.0,1.0,2.0,1,1.0,1.0,10.0,3.0,146.79,10.0,1. 호텔,가족형,1,서울
387.0,8.0,1.0,3.0,1,2.0,2.0,1.0,6.0,83.32,6.0,1. 호텔,가족형,2,부산
390.0,15.0,2.0,4.0,1,1.0,7.0,1.0,6.0,58.19,24.0,1. 호텔+5. 민박/펜션,가족형,3,서울
391.0,6.0,1.0,4.0,1,3.0,8.0,1.0,3.0,144.5,5.0,1. 호텔,가족형,1,서울
395.0,2.0,2.0,2.0,1,2.0,7.0,13.0,4.0,258.4,15.0,4. 게스트하우스/호스텔,혼자형,1,서울
400.0,10.0,1.0,2.0,1,1.0,1.0,3.0,6.0,248.12,10.0,1. 호텔+3. 콘도미니엄/리조트,복합형(가족+친구),4,서울
401.0,4.0,2.0,2.0,1,2.0,2.0,7.0,6.0,119.29,7.0,4. 게스트하우스/호스텔,친구형,1,서울
402.0,4.0,1.0,2.0,1,1.0,1.0,1.0,10.0,145.71,7.0,1. 호텔,혼자형,4,서울
409.0,10.0,1.0,2.0,1,1.0,1.0,11.0,6.0,152.86,7.0,1. 호텔,가족형,2,서울
414.0,2.0,2.0,2.0,1,4.0,7.0,7.0,5.0,220.4,3.0,1. 호텔,친구형,1,서울
415.0,10.0,1.0,2.0,1,1.0,1.0,1.0,6.0,298.04,6.0,1. 호텔,친구형,2,서울
416.0,10.0,1.0,2.0,1,1.0,1.0,4.0,3.0,372.55,6.0,1. 호텔,가족형,2,서울
423.0,97.0,2.0,2.0,1,1.0,1.0,1.0,5.0,263.56,6.0,1. 호텔,친구형,2,서울
428.0,15.0,2.0,3.0,1,2.0,8.0,2.0,3.0,172.73,4.0,1. 호텔,가족형,1,서울
436.0,6.0,2.0,4.0,1,3.0,5.0,2.0,5.0,61.93,7.0,1. 호텔,친구형,1,서울
440.0,7.0,2.0,2.0,1,1.0,9.0,3.0,6.0,337.77,6.0,1. 호텔,가족형,1,서울
443.0,14.0,2.0,4.0,1,1.0,8.0,12.0,4.0,156.7,10.0,3. 콘도미니엄/리조트,가족형,1,서울
444.0,6.0,1.0,2.0,1,1.0,6.0,5.0,3.0,33.98,8.0,1. 호텔,가족형,1,서울
446.0,9.0,1.0,3.0,1,2.0,2.0,6.0,6.0,126.83,6.0,4. 게스트하우스/호스텔,단체형,3,서울
447.0,5.0,2.0,3.0,1,1.0,4.0,2.0,6.0,394.55,5.0,1. 호텔,가족형,1,서울
450.0,3.0,2.0,3.0,1,3.0,2.0,1.0,1.0,164.16,7.0,1. 호텔,가족형,1,서울
452.0,10.0,1.0,2.0,1,1.0,1.0,3.0,2.0,204.9,5.0,1. 호텔,가족형,1,서울
453.0,9.0,2.0,3.0,1,1.0,7.0,2.0,1.0,182.84,7.0,1. 호텔,친구형,1,서울
455.0,97.0,2.0,4.0,1,4.0,4.0,1.0,4.0,486.44,7.0,1. 호텔,가족형,2,서울
458.0,97.0,1.0,4.0,1,1.0,1.0,12.0,1.0,200.0,5.0,1. 호텔,가족형,2,서울
465.0,97.0,2.0,2.0,1,1.0,1.0,11.0,9.0,231.25,4.0,1. 호텔,단체형,2,서울
466.0,97.0,2.0,1.0,1,1.0,1.0,10.0,2.0,362.5,4.0,1. 호텔,가족형,2,서울
472.0,10.0,1.0,5.0,1,4.0,2.0,1.0,3.0,99.35,5.0,1. 호텔,가족형,1,서울
473.0,15.0,1.0,2.0,1,1.0,1.0,2.0,3.0,34.55,15.0,1. 호텔,단체형,2,서울
484.0,5.0,1.0,3.0,1,4.0,2.0,10.0,10.0,23.29,11.0,1. 호텔,가족형,1,서울
485.0,10.0,2.0,5.0,1,1.0,1.0,3.0,3.0,434.64,6.0,1. 호텔,단체형,2,서울
487.0,5.0,2.0,1.0,1,3.0,7.0,2.0,6.0,216.4,7.0,1. 호텔,가족형,2,서울
491.0,4.0,2.0,6.0,1,2.0,7.0,7.0,9.0,57.14,7.0,1. 호텔,친구형,1,서울
492.0,4.0,2.0,4.0,1,2.0,7.0,10.0,6.0,67.14,7.0,1. 호텔,친구형,1,서울
493.0,3.0,1.0,3.0,1,1.0,7.0,1.0,1.0,285.25,4.0,1. 호텔,복합형(가족+친구),2,서울
494.0,3.0,1.0,3.0,1,2.0,2.0,1.0,8.0,66.95,7.0,1. 호텔,가족형,2,서울
499.0,5.0,2.0,2.0,1,1.0,7.0,4.0,5.0,203.28,5.0,1. 호텔,가족형,2,서울
500.0,5.0,1.0,3.0,1,3.0,8.0,4.0,6.0,259.27,5.0,1. 호텔,가족형,1,서울
501.0,97.0,1.0,2.0,1,1.0,1.0,10.0,2.0,264.07,7.0,4. 게스트하우스/호스텔,친구형,1,서울
502.0,10.0,2.0,2.0,1,1.0,1.0,3.0,6.0,107.22,5.0,1. 호텔,가족형,2,서울
505.0,97.0,1.0,3.0,1,1.0,1.0,5.0,3.0,387.5,4.0,1. 호텔,단체형,2,서울
506.0,9.0,2.0,2.0,1,1.0,1.0,3.0,6.0,73.38,8.0,1. 호텔,가족형,1,서울
507.0,5.0,2.0,3.0,1,4.0,3.0,1.0,1.0,135.79,5.0,1. 호텔,가족형,2,서울
508.0,9.0,2.0,1.0,1,3.0,2.0,2.0,6.0,50.95,5.0,1. 호텔,가족형,1,서울
512.0,10.0,1.0,3.0,1,2.0,9.0,2.0,6.0,184.47,7.0,1. 호텔,가족형,2,서울
513.0,5.0,2.0,5.0,1,4.0,7.0,2.0,2.0,128.1,5.0,1. 호텔,가족형,2,서울
514.0,9.0,2.0,3.0,1,1.0,5.0,11.0,1.0,510.0,3.0,1. 호텔,단체형,1,서울
518.0,15.0,1.0,2.0,1,1.0,1.0,10.0,6.0,905.96,7.0,8. 기타,친구형,1,서울
519.0,3.0,2.0,5.0,1,1.0,1.0,5.0,3.0,82.14,7.0,1. 호텔,가족형,1,서울
521.0,15.0,1.0,2.0,1,1.0,1.0,2.0,10.0,56.63,12.0,4. 게스트하우스/호스텔,단체형,4,서울
522.0,15.0,2.0,6.0,1,2.0,2.0,1.0,8.0,39.47,13.0,1. 호텔,가족형,3,서울
523.0,15.0,2.0,2.0,1,3.0,2.0,2.0,5.0,62.72,12.0,1. 호텔+2. 모텔/여관,가족형,3,서울
527.0,15.0,2.0,1.0,1,3.0,3.0,11.0,10.0,20.02,43.0,7. 친척 또는 친구 집,가족형,1,서울
528.0,3.0,2.0,4.0,1,1.0,7.0,11.0,9.0,381.96,6.0,1. 호텔,친구형,3,서울
530.0,3.0,1.0,3.0,1,1.0,6.0,1.0,5.0,284.0,5.0,1. 호텔,친구형,3,서울
531.0,15.0,1.0,2.0,1,1.0,1.0,2.0,10.0,149.03,14.0,1. 호텔,단체형,2,서울
532.0,3.0,2.0,2.0,1,4.0,7.0,1.0,2.0,186.47,5.0,4. 게스트하우스/호스텔,혼자형,1,서울
535.0,2.0,2.0,4.0,1,4.0,10.0,2.0,2.0,363.53,3.0,1. 호텔,친구형,1,서울
536.0,3.0,2.0,3.0,1,4.0,8.0,2.0,3.0,361.39,7.0,1. 호텔,친구형,1,서울
538.0,2.0,2.0,2.0,1,4.0,5.0,2.0,5.0,177.33,3.0,1. 호텔,혼자형,1,서울
539.0,2.0,2.0,2.0,1,4.0,2.0,2.0,3.0,244.34,4.0,1. 호텔,혼자형,1,서울
540.0,2.0,2.0,2.0,1,3.0,8.0,2.0,3.0,106.4,3.0,1. 호텔,친구형,1,서울
541.0,2.0,2.0,4.0,1,4.0,7.0,12.0,2.0,428.64,4.0,1. 호텔,친구형,1,서울
542.0,2.0,1.0,3.0,1,1.0,5.0,2.0,6.0,657.4,3.0,1. 호텔,혼자형,1,서울
543.0,2.0,2.0,2.0,1,4.0,2.0,2.0,2.0,476.27,3.0,1. 호텔,가족형,1,서울
545.0,2.0,1.0,6.0,1,4.0,11.0,4.0,10.0,254.6,3.0,1. 호텔,혼자형,1,서울
550.0,2.0,2.0,3.0,1,4.0,7.0,1.0,2.0,219.31,7.0,1. 호텔,혼자형,1,서울
553.0,2.0,2.0,3.0,1,1.0,7.0,1.0,3.0,210.98,5.0,1. 호텔,혼자형,1,서울
555.0,2.0,2.0,6.0,1,3.0,2.0,2.0,3.0,288.8,3.0,1. 호텔,친구형,1,서울
557.0,2.0,2.0,2.0,1,1.0,8.0,1.0,2.0,156.75,4.0,1. 호텔,친구형,1,서울
558.0,2.0,2.0,2.0,1,1.0,1.0,2.0,1.0,368.6,3.0,1. 호텔,가족형,1,서울
559.0,2.0,2.0,2.0,1,4.0,2.0,2.0,6.0,219.13,3.0,1. 호텔,친구형,1,서울
560.0,2.0,1.0,2.0,1,1.0,1.0,3.0,6.0,429.4,3.0,1. 호텔,직장형,1,서울
562.0,2.0,2.0,2.0,1,4.0,4.0,1.0,2.0,461.07,3.0,1. 호텔,직장형,1,서울
564.0,2.0,1.0,4.0,1,4.0,2.0,1.0,2.0,861.33,3.0,1. 호텔,친구형,1,서울
573.0,18.0,2.0,2.0,1,1.0,1.0,3.0,3.0,36.82,13.0,4. 게스트하우스/호스텔,혼자형,2,서울
644.0,1.0,2.0,1.0,1,1.0,7.0,1.0,4.0,271.95,6.0,1. 호텔,친구형,1,서울
645.0,6.0,2.0,3.0,1,4.0,7.0,3.0,9.0,87.58,33.0,2. 모텔/여관,혼자형,1,서울
646.0,17.0,1.0,3.0,1,2.0,5.0,3.0,3.0,231.61,20.0,7. 친척 또는 친구 집,혼자형,1,인천
655.0,8.0,1.0,4.0,1,1.0,1.0,3.0,3.0,394.98,5.0,1. 호텔,가족형,2,서울
657.0,1.0,2.0,2.0,1,2.0,2.0,2.0,4.0,187.61,10.0,7. 친척 또는 친구 집,혼자형,1,서울
662.0,1.0,1.0,3.0,1,2.0,6.0,1.0,4.0,288.8,3.0,1. 호텔,가족형,1,서울
668.0,7.0,2.0,6.0,1,1.0,5.0,4.0,1.0,128.67,6.0,1. 호텔,가족형,1,서울
670.0,5.0,1.0,3.0,1,3.0,2.0,11.0,6.0,119.56,6.0,4. 게스트하우스/호스텔,단체형,1,서울
676.0,8.0,2.0,4.0,1,1.0,1.0,12.0,3.0,259.43,7.0,1. 호텔,가족형,2,서울
677.0,5.0,2.0,3.0,1,2.0,5.0,1.0,4.0,392.31,4.0,1. 호텔,복합형(가족+친구),1,서울
678.0,5.0,2.0,2.0,1,1.0,1.0,1.0,1.0,227.38,4.0,1. 호텔,친구형,1,서울
680.0,7.0,1.0,2.0,1,1.0,1.0,2.0,6.0,180.14,5.0,1. 호텔,가족형,1,서울
681.0,5.0,1.0,4.0,1,1.0,10.0,11.0,4.0,52.94,34.0,1. 호텔+3. 콘도미니엄/리조트,가족형,2,강원
683.0,8.0,1.0,5.0,1,4.0,2.0,2.0,11.0,288.76,7.0,4. 게스트하우스/호스텔,가족형,1,서울
687.0,3.0,1.0,4.0,1,2.0,5.0,2.0,6.0,297.02,6.0,1. 호텔,가족형,4,서울
689.0,1.0,2.0,3.0,1,4.0,7.0,2.0,1.0,1031.26,6.0,1. 호텔,혼자형,1,서울
693.0,18.0,2.0,2.0,1,1.0,1.0,4.0,9.0,114.86,4.0,1. 호텔,혼자형,1,서울
697.0,97.0,1.0,4.0,1,3.0,2.0,1.0,3.0,900.0,5.0,1. 호텔,단체형,1,서울
699.0,2.0,2.0,2.0,1,4.0,2.0,7.0,3.0,144.4,3.0,1. 호텔,친구형,1,서울
700.0,5.0,2.0,3.0,1,1.0,1.0,1.0,6.0,201.25,4.0,1. 호텔,가족형,1,서울
702.0,6.0,2.0,2.0,1,1.0,1.0,2.0,3.0,20.64,35.0,1. 호텔,친구형,1,서울
705.0,3.0,2.0,1.0,1,4.0,7.0,2.0,6.0,228.2,4.0,1. 호텔,가족형,1,서울
710.0,6.0,1.0,2.0,1,1.0,7.0,4.0,9.0,216.75,4.0,1. 호텔,혼자형,1,서울
714.0,3.0,1.0,3.0,1,2.0,4.0,5.0,6.0,27.1,10.0,1. 호텔,단체형,2,서울
719.0,7.0,2.0,4.0,1,4.0,4.0,2.0,9.0,123.53,5.0,1. 호텔,가족형,1,서울
721.0,3.0,1.0,5.0,1,2.0,5.0,1.0,8.0,223.31,5.0,1. 호텔,가족형,1,서울
722.0,17.0,2.0,4.0,1,1.0,1.0,3.0,5.0,93.18,29.0,1. 호텔+7. 친척 또는 친구 집,혼자형,2,서울
725.0,3.0,1.0,5.0,1,1.0,10.0,2.0,4.0,346.38,6.0,1. 호텔,단체형,1,서울
