아이디,연령별,한국 방문횟수(카테고리),문3-2. 고려한 관광인프라_1,여행동반자_그룹,방문 지역 수,여행 패턴,"문10. 1인 1일 지출경비(상하위 1% 대체, 61일 이상 결측)",문9-3. 총 체재기간_61일 이상 결측,문3-1. 고려한 관광활동_1순위,문1-1. 한국여행 관심 계기_1순위,국가별,성별,월별,문10-2. 쇼핑 항목_1,문10-2. 쇼핑 항목_2,문10-2. 쇼핑 항목_3,문10-2. 쇼핑 항목_4,문10-2. 쇼핑 항목_5,문10-2. 쇼핑 항목_6,문10-2. 쇼핑 항목_7,문10-2. 쇼핑 항목_8,문10-2. 쇼핑 항목_9,문10-2. 쇼핑 항목_10,문10-2. 쇼핑 항목_11,문10-2. 쇼핑 항목_12,문10-2. 쇼핑 항목_13,문10. 1인 지출경비(상하위 1% 대체),문9-2. 방문지역_1,문9-2. 방문지역_2,문9-2. 방문지역_3,문9-2. 방문지역_4,문9-2. 방문지역_5,문9-2. 방문지역_6,문9-2. 방문지역_7,문9-2. 방문지역_8,문9-2. 방문지역_9,문9-2. 방문지역_10,문9-2. 방문지역_11,문9-2. 방문지역_12,문9-2. 방문지역_13,문9-2. 방문지역_14,문9-2. 방문지역_15,문9-2. 방문지역_16,문9-2. 방문지역_17,문9-1. 가장 좋았던곳_1,문9-1. 가장 좋았던곳_2,문9-1. 가장 좋았던곳_3,문9-1. 가장 좋았던곳_4,문9-1. 가장 좋았던곳_5,문8-1. 만족한 활동_1,문8-1. 만족한 활동_2,문8-1. 만족한 활동_3,문8. 참여한 활동_1,문8. 참여한 활동_2,문8. 참여한 활동_3,문8. 참여한 활동_4,문8. 참여한 활동_5,문8. 참여한 활동_6,문8. 참여한 활동_7,문8. 참여한 활동_8,문8. 참여한 활동_9,문8. 참여한 활동_10,문8. 참여한 활동_11,문8. 참여한 활동_12,문8. 참여한 활동_13,문8. 참여한 활동_14,문8. 참여한 활동_15,문8. 참여한 활동_16,문8. 참여한 활동_17,문8. 참여한 활동_18,문8. 참여한 활동_19,문8. 참여한 활동_20,new_여행패턴
121,3,재방문,가성비,가족형,1,서울 심층형,231.25,6.0,도시 소비형,가성비 및 접근성,17,2,1,,,3.0,,,,,,,,,,,1387.5,1.0,,,,,,,,,,,,,,,,,11001,,,,,1,2.0,4.0,1.0,2.0,3.0,4.0,5.0,,7.0,,,,,,,,,,,,,,서울 집중형
122,2,첫방문,안전 및 퀄리티,친구형,1,서울 심층형,166.883333333333,6.0,도시 소비형,K-컬처형,3,2,1,1.0,2.0,3.0,,,,,,,,,,,1001.3,1.0,,,,,,,,,,,,,,,,,11528,,,,,4,1.0,3.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,,,,서울 집중형
123,2,첫방문,여행 편의성,친구형,2,서울 심층형,168.54435,6.0,도시 소비형,경험 및 관계,5,2,1,1.0,2.0,3.0,,,,,,,,,,,1011.2661,1.0,,,4.0,,,,,,,,,,,,,,42504,,,,,16,3.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,16.0,,,,,서울 확산형
125,2,재방문,가성비,혼자형,1,서울 단기형,159.75,4.0,도시 소비형,경험 및 관계,2,2,1,1.0,2.0,3.0,,,,,,,,,,,639.0,1.0,,,,,,,,,,,,,,,,,11002,,,,,1,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,서울 집중형
128,2,첫방문,여행 편의성,친구형,1,서울 단기형,447.36,5.0,특수 목적,경험 및 관계,1,2,1,1.0,2.0,3.0,,,,,,,,,,,2236.8,1.0,,,,,,,,,,,,,,,,,11036,,,,,1,2.0,14.0,1.0,2.0,,,,,,,,,,,,14.0,,,,,,,서울 집중형
132,2,재방문,안전 및 퀄리티,혼자형,1,수도권/지방형(탐험가형),186.15,16.0,도시 소비형,경험 및 관계,6,2,1,1.0,2.0,,,,,,,,,,,,2978.4,,,,,,,,,,,,,,,,,17.0,50500,,,,,2,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,탐험형
135,5,재방문,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),186.4,9.0,도시 소비형,경험 및 관계,1,2,1,1.0,,,,,,,,,,,,,1677.6,1.0,2.0,,,,,,,,,,,,,,,,11001,,,,,2,3.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,서울 확산형
136,3,재방문,안전 및 퀄리티,가족형,2,서울 단기형,299.286,5.0,도시 소비형,K-컬처형,5,2,1,,,3.0,4.0,,,,8.0,,,,,,1496.43,1.0,2.0,,,,,,,,,,,,,,,,41534,,,,,7,3.0,1.0,1.0,2.0,3.0,,5.0,,7.0,,,,,,,,,,,,,,서울 확산형
137,2,첫방문,여행 편의성,가족형,1,서울 심층형,115.0,11.0,"역사, 전통, 자연",경험 및 관계,11,1,1,,,,,,,,,9.0,,,,,1265.0,1.0,,,,,,,,,,,,,,,,,11005,,,,,3,1.0,2.0,1.0,2.0,3.0,4.0,5.0,,7.0,,,,,,,,,,,,,,서울 집중형
138,2,첫방문,여행 편의성,혼자형,1,서울 단기형,335.52,5.0,특수 목적,K-컬처형,5,2,1,1.0,2.0,3.0,,5.0,,,,,10.0,11.0,,,1677.6,1.0,,,,,,,,,,,,,,,,,11199,,,,,13,7.0,5.0,,,,,5.0,,7.0,,,,,,13.0,,,,,,,,서울 집중형
142,2,첫방문,여행 편의성,단체형,1,서울 심층형,192.142857142857,7.0,특수 목적,경험 및 관계,1,1,1,,2.0,3.0,,5.0,,,,,,,,,1345.0,1.0,,,,,,,,,,,,,,,,,11021,,,,,11,5.0,2.0,1.0,2.0,3.0,,5.0,6.0,7.0,,,,11.0,,,,,,,,,,서울 집중형
143,3,첫방문,가성비,가족형,1,서울 심층형,120.0,20.0,도시 소비형,가성비 및 접근성,17,1,1,,,3.0,,,,,,,,,,,2400.0,1.0,,,,,,,,,,,,,,,,,11003,,,,,11,2.0,1.0,1.0,2.0,,,,,,,,,11.0,,,,,,,,,,서울 집중형
144,2,첫방문,여행 편의성,친구형,1,수도권/지방형(탐험가형),266.25,4.0,경험형,가성비 및 접근성,2,2,1,1.0,2.0,,,,,,,,,11.0,,,1065.0,,,,,,,,,,,,,13.0,,,,,26006,,,,,9,3.0,1.0,1.0,2.0,3.0,4.0,,,7.0,,9.0,,,,,,,,,,,,탐험형
145,3,재방문,안전 및 퀄리티,가족형,3,서울 심층형,173.578571428571,7.0,특수 목적,K-컬처형,5,1,1,1.0,2.0,3.0,4.0,,,,,9.0,,,,,1215.05,1.0,,3.0,4.0,,,,,,,,,,,,,,42506,,,,,1,2.0,12.0,1.0,2.0,,,,,,,,,,12.0,,,,,,,,,서울 확산형
146,5,재방문,여행 편의성,가족형,1,수도권/지방형(탐험가형),205.99865,4.0,도시 소비형,가성비 및 접근성,2,2,1,,2.0,,,,6.0,,,,,,,,823.9946,,,,,,,,,,,,,13.0,,,,,26508,,,,,1,2.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,탐험형
147,2,첫방문,안전 및 퀄리티,가족형,1,서울 단기형,325.0,4.0,도시 소비형,경험 및 관계,5,1,1,,,,4.0,5.0,,,,,,,,,1300.0,1.0,,,,,,,,,,,,,,,,,11001,,,,,11,1.0,3.0,1.0,2.0,3.0,,,,,,,,11.0,12.0,,,,,,,,,서울 집중형
148,5,첫방문,안전 및 퀄리티,가족형,1,서울 심층형,236.666666666667,6.0,"역사, 전통, 자연",경험 및 관계,97,2,1,1.0,,3.0,,,,,,,,,,,1420.0,1.0,,,,,,,,,,,,,,,,,11910,,,,,12,5.0,,,,,,5.0,,,,,,,12.0,,,,,,,,,서울 집중형
150,2,첫방문,여행 편의성,친구형,1,서울 심층형,380.620214285714,7.0,특수 목적,경험 및 관계,15,1,1,,2.0,,,5.0,,,,,,11.0,,,2664.3415,1.0,,,,,,,,,,,,,,,,,11002,,,,,12,11.0,2.0,1.0,2.0,,,5.0,,,,,,11.0,12.0,,,,,,,,,서울 집중형
151,4,첫방문,여행 편의성,혼자형,1,서울 심층형,187.5,8.0,도시 소비형,경험 및 관계,4,1,1,,,,,,,,,,,,,,1500.0,1.0,,,,,,,,,,,,,,,,,11910,11916.0,,,,4,15.0,16.0,,,,4.0,,,,,,,,,,,15.0,16.0,,,,,서울 집중형
152,3,첫방문,안전 및 퀄리티,단체형,1,서울 단기형,400.0,5.0,경험형,경험 및 관계,1,2,1,,,3.0,,,6.0,,,,,11.0,,,2000.0,1.0,,,,,,,,,,,,,,,,,11001,,,,,7,8.0,6.0,1.0,2.0,3.0,,5.0,6.0,7.0,8.0,,,,,,,,,,,,,서울 집중형
154,2,첫방문,안전 및 퀄리티,친구형,2,수도권/지방형(탐험가형),154.78,5.0,특수 목적,가성비 및 접근성,2,1,1,1.0,,3.0,,,,,,9.0,,,,,773.9,,,,,,,,,,10.0,,,13.0,,,,,48505,,,,,3,7.0,,,,3.0,,,,7.0,,,,,,,,,,,,,,탐험형
157,2,첫방문,여행 편의성,친구형,1,서울 단기형,145.392,5.0,"역사, 전통, 자연",K-컬처형,1,2,1,1.0,,,,,,,,,,,,,726.96,1.0,,,,,,,,,,,,,,,,,11001,11005.0,,,,2,1.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,서울 집중형
158,3,첫방문,여행 편의성,친구형,1,서울 단기형,109.47,5.0,경험형,경험 및 관계,97,1,1,,,,,,,,,,,,,,547.35,1.0,,,,,,,,,,,,,,,,,11910,,,,,11,1.0,7.0,1.0,,,,5.0,,7.0,,,,11.0,12.0,,,,,,,,,서울 집중형
159,6,재방문,가성비,혼자형,1,서울 심층형,195.25,8.0,경험형,K-컬처형,2,2,1,1.0,2.0,,,,,,,,,,,,1562.0,1.0,,,,,,,,,,,,,,,,,11193,,,,,8,1.0,2.0,1.0,2.0,,,,,,8.0,,,,,,,,,,,,,서울 집중형
162,4,첫방문,안전 및 퀄리티,친구형,1,서울 단기형,133.5534,5.0,경험형,경험 및 관계,97,1,1,,,,,,,,,,,,,,667.767,1.0,,,,,,,,,,,,,,,,,11092,,,,,1,2.0,4.0,1.0,2.0,,4.0,5.0,,,8.0,,,,,,,,16.0,,,19.0,,서울 집중형
164,3,첫방문,여행 편의성,가족형,1,서울 단기형,213.333333333333,5.0,도시 소비형,가성비 및 접근성,13,1,1,1.0,2.0,,,,,,,,,,,,1066.66666666667,1.0,,,,,,,,,,,,,,,,,11057,,,,,1,2.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,서울 집중형
165,2,첫방문,안전 및 퀄리티,단체형,2,수도권/지방형(탐험가형),174.42,5.0,특수 목적,K-컬처형,3,2,1,,2.0,,,5.0,,,,9.0,,11.0,,,872.1,,,,,,,,,9.0,,,,13.0,,,,,47053,,,,,12,3.0,5.0,1.0,2.0,3.0,,5.0,,7.0,,,,,12.0,,,,,,,,,탐험형
166,5,첫방문,여행 편의성,단체형,2,수도권/지방형(탐험가형),124.032,5.0,도시 소비형,경험 및 관계,3,1,1,,2.0,,,,6.0,,,,10.0,,,,620.16,,,,,,,,,9.0,,,,13.0,,,,,47051,,,,,3,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,탐험형
167,6,재방문,안전 및 퀄리티,혼자형,1,수도권/지방형(탐험가형),664.0,10.0,경험형,가성비 및 접근성,11,1,1,,,,,,,,,,,,,,6640.0,,2.0,,,,,,,,,,,,,,,,41508,,,,,14,4.0,1.0,1.0,,,4.0,,,,,,,,,,14.0,,,,,,,탐험형
168,4,첫방문,안전 및 퀄리티,단체형,2,수도권/지방형(탐험가형),187.34,5.0,"역사, 전통, 자연",가성비 및 접근성,3,1,1,,2.0,3.0,,,,7.0,,,,,,,936.7,,,,,,,,,9.0,,,,13.0,,,,,47053,,,,,5,6.0,12.0,1.0,2.0,3.0,,5.0,6.0,,,,,11.0,12.0,,,,,,,,,탐험형
169,6,첫방문,여행 편의성,단체형,1,수도권/지방형(탐험가형),200.26,4.0,"역사, 전통, 자연",K-컬처형,3,2,1,1.0,,,,,,,8.0,9.0,,,,,801.04,,,,,,,,,,,,,13.0,,,,,26006,,,,,5,10.0,1.0,1.0,,,,5.0,,,,,10.0,,,,,,,,,,,탐험형
172,4,재방문,여행 편의성,가족형,1,서울 단기형,310.1575,4.0,도시 소비형,가성비 및 접근성,5,2,1,1.0,,,4.0,,,,,,,,,,1240.63,1.0,,,,,,,,,,,,,,,,,41001,,,,,12,2.0,1.0,1.0,2.0,,,,,,,,,,12.0,,,,,,,,,서울 집중형
173,2,재방문,안전 및 퀄리티,친구형,1,서울 심층형,375.19465,6.0,특수 목적,K-컬처형,5,2,1,1.0,,,4.0,,,,,,,,,,2251.1679,1.0,,,,,,,,,,,,,,,,,41001,,,,,12,16.0,1.0,1.0,,,,,,,,,,,12.0,,,,16.0,,,,,서울 집중형
174,2,재방문,안전 및 퀄리티,가족형,1,서울 단기형,331.333333333333,3.0,도시 소비형,K-컬처형,2,2,1,1.0,2.0,,,,6.0,,,,,,,,994.0,1.0,,,,,,,,,,,,,,,,,11019,,,,,13,2.0,1.0,1.0,2.0,3.0,,,,,,,,,,13.0,,,,,,,,서울 집중형
176,6,재방문,여행 편의성,단체형,1,수도권/지방형(탐험가형),179.265,4.0,"역사, 전통, 자연",가성비 및 접근성,3,2,1,,2.0,3.0,,5.0,,,,,,,,,717.06,,,,,,,,,,,,,13.0,,,,,26001,,,,,1,3.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,탐험형
184,3,재방문,가성비,친구형,1,서울 단기형,236.666666666667,3.0,도시 소비형,K-컬처형,2,2,1,1.0,,3.0,,,,,,,,,,,710.0,1.0,,,,,,,,,,,,,,,,,11002,,,,,2,11.0,1.0,1.0,2.0,,,,,,,,,11.0,,,,,,,,,,서울 집중형
186,5,재방문,여행 편의성,가족형,1,수도권/지방형(탐험가형),125.0,4.0,"역사, 전통, 자연",경험 및 관계,4,2,1,,,,,,,,,,,,,,500.0,,,3.0,,,,,,,,,,,,,,,11057,,,,,5,3.0,12.0,,,3.0,,5.0,,,,,,,12.0,,,,,,,,,탐험형
187,6,재방문,여행 편의성,가족형,1,서울 단기형,100.0,4.0,경험형,경험 및 관계,4,2,1,,2.0,,,,,,,,,,,,400.0,1.0,,,,,,,,,,,,,,,,,11513,,,,,3,,,,,3.0,,,,,,,,,,,,,,,,,,서울 집중형
189,4,첫방문,여행 편의성,가족형,4,서울 심층형,222.222222222222,9.0,경험형,경험 및 관계,4,1,1,,2.0,3.0,,5.0,,,,,,11.0,,,2000.0,1.0,,,4.0,,,,,,,,,13.0,,,16.0,,11012,,,,,5,7.0,6.0,1.0,2.0,3.0,,5.0,6.0,7.0,,,,,,,,,,,,,,서울 확산형
190,4,재방문,안전 및 퀄리티,단체형,2,수도권/지방형(탐험가형),180.88,4.0,"역사, 전통, 자연",가성비 및 접근성,3,2,1,1.0,2.0,,,5.0,,,,,,,12.0,,723.52,,,,,,,,,,10.0,,,13.0,,,,,48505,,,,,1,3.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,탐험형
191,4,첫방문,가성비,단체형,2,서울 단기형,355.3,5.0,도시 소비형,경험 및 관계,3,1,1,,2.0,,,,,,,,,,,,1776.5,1.0,2.0,,,,,,,,,,,,,,,,11001,,,,,1,12.0,16.0,1.0,2.0,3.0,,,,,,,,,12.0,,,,16.0,,,,,서울 확산형
192,4,첫방문,가성비,친구형,1,서울 단기형,260.333333333333,3.0,"역사, 전통, 자연",K-컬처형,2,2,1,,2.0,,,,,,,,,,,,781.0,1.0,,,,,,,,,,,,,,,,,11021,,,,,2,1.0,6.0,1.0,2.0,,,5.0,6.0,,,,,,,,,,,,,,,서울 집중형
194,3,첫방문,여행 편의성,가족형,1,서울 단기형,164.73,5.0,도시 소비형,경험 및 관계,3,1,1,,2.0,3.0,,,,,,,,,,,823.65,1.0,,,,,,,,,,,,,,,,,11057,,,,,12,1.0,,1.0,2.0,,,5.0,,7.0,,,,,12.0,,,,,,,,,서울 집중형
195,3,첫방문,안전 및 퀄리티,가족형,1,서울 단기형,335.52,5.0,특수 목적,K-컬처형,1,2,1,1.0,2.0,,,,,7.0,,,,,,,1677.6,1.0,,,,,,,,,,,,,,,,,11005,,,,,6,1.0,12.0,1.0,2.0,,,,6.0,,,,,,12.0,,,,,,,,,서울 집중형
196,5,재방문,여행 편의성,단체형,2,서울 심층형,138.498484848485,6.0,도시 소비형,가성비 및 접근성,3,2,1,,2.0,3.0,,,,,,,,,,,830.990909090909,1.0,,,4.0,,,,,,,,,,,,,,42507,,,,,16,3.0,4.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,16.0,,,,,서울 확산형
200,3,첫방문,가성비,복합형(가족+친구),2,서울 심층형,242.25,6.0,도시 소비형,가성비 및 접근성,3,2,1,,2.0,3.0,,,,,,,,,,,1453.5,1.0,,,4.0,,,,,,,,,,,,,,42506,,,,,10,1.0,2.0,1.0,2.0,,,,,,,,10.0,,,,,,16.0,,,,,서울 확산형
